BucketName
aws-cloudtrail-logs-070614107691-08b1b0e1
aws-cloudtrail-logs-070614107691-be181dd6
lambda-test-23jan
roni-env-2023
roni-jan29-test
roni-jan29-test1
roni-jan29-test2
roni-jan29-test3
roni-jan29-test4
